customer_id,name,age,country,signup_date
1,customer_1,41,US,2024-09-15
2,customer_2,42,US,2024-07-03
3,customer_3,88,DE,2024-12-22
4,customer_4,44,FR,2024-04-26
5,customer_5,57,DE,2024-12-05
6,customer_6,44,FR,2024-02-11
7,customer_7,,DE,2024-04-06
8,customer_8,56,DE,2024-01-10
9,customer_9,69,MA,2024-04-23
10,customer_10,43,ES,2024-05-01
11,customer_11,44,US,2024-06-18
12,customer_12,33,ES,2024-04-22
13,customer_13,24,MA,2024-04-16
14,customer_14,85,DE,2024-06-01
15,customer_15,81,DE,2024-12-23
16,customer_16,23,ES,2024-05-26
17,customer_17,34,DE,2024-02-11
18,customer_18,21,MA,2024-02-15
19,customer_19,84,,2024-05-19
20,customer_20,19,FR,2024-02-02
21,customer_21,18,ES,2024-03-09
22,customer_22,27,ES,2024-07-15
23,customer_23,19,MA,2024-12-25
24,customer_24,39,US,2024-12-17
25,customer_25,87,ES,2024-04-23
26,customer_26,80,MA,2024-05-25
27,customer_27,65,MA,2024-02-05
28,customer_28,47,,2024-03-21
29,customer_29,12,US,2024-01-11
30,customer_30,59,DE,2024-10-07
31,customer_31,58,FR,2024-09-01
32,customer_32,34,ES,2024-09-26
33,customer_33,15,DE,2024-09-12
34,customer_34,15,DE,2024-04-25
35,customer_35,84,MA,2024-01-20
36,customer_36,36,DE,2024-02-25
37,customer_37,37,MA,2024-09-24
38,customer_38,18,FR,2024-09-02
39,customer_39,,ES,2024-02-03
40,customer_40,14,FR,2024-12-21
41,customer_41,76,FR,2024-09-28
42,customer_42,81,ES,2024-12-09
43,customer_43,37,US,2024-12-22
44,customer_44,27,ES,2024-05-01
45,customer_45,83,MA,2024-03-16
46,customer_46,63,MA,2024-12-01
47,customer_47,,MA,2024-08-03
48,customer_48,49,DE,2024-12-04
49,customer_49,42,MA,2024-07-01
50,customer_50,14,MA,2024-12-18
51,customer_51,83,MA,2024-01-19
52,customer_52,19,US,2024-05-20
53,customer_53,56,ES,2024-01-20
54,customer_54,64,MA,2024-11-07
55,customer_55,35,DE,2024-02-11
56,customer_56,46,ES,2024-09-23
57,customer_57,24,US,2024-06-01
58,customer_58,84,MA,2024-02-28
59,customer_59,83,US,2024-03-24
60,customer_60,87,DE,2024-04-14
61,customer_61,16,DE,2024-06-01
62,customer_62,43,FR,2024-09-19
63,customer_63,83,FR,2024-12-19
64,customer_64,30,US,2024-11-26
65,customer_65,75,US,2024-01-15
66,customer_66,33,US,2024-12-13
67,customer_67,19,US,2024-08-09
68,customer_68,47,ES,2024-08-05
69,customer_69,45,FR,2024-04-18
70,customer_70,16,FR,2024-07-28
71,customer_71,80,DE,2024-06-19
72,customer_72,59,ES,2024-05-05
73,customer_73,36,FR,2024-08-22
74,customer_74,17,FR,2024-06-06
75,customer_75,42,ES,2024-01-21
76,customer_76,88,ES,2024-03-05
77,customer_77,73,DE,2024-07-05
78,customer_78,70,DE,2024-07-28
79,customer_79,74,MA,2024-11-08
80,customer_80,88,US,2024-05-12
81,customer_81,77,MA,2024-06-23
82,customer_82,76,FR,2024-07-13
83,customer_83,80,FR,2024-02-08
84,customer_84,24,US,2024-05-22
85,customer_85,40,FR,2024-02-14
86,customer_86,88,FR,2024-01-05
87,customer_87,54,US,2024-01-14
88,customer_88,35,US,2024-10-08
89,customer_89,56,US,2024-10-27
90,customer_90,16,ES,2024-12-11
91,customer_91,74,,2024-08-15
92,customer_92,86,US,2024-09-06
93,customer_93,31,MA,2024-07-23
94,customer_94,70,MA,2024-02-03
95,customer_95,,FR,2024-01-14
96,customer_96,52,FR,2024-04-04
97,customer_97,79,MA,2024-06-05
98,customer_98,14,DE,2024-07-04
99,customer_99,54,MA,2024-05-09
100,customer_100,88,FR,2024-08-16
101,customer_101,42,FR,2024-11-18
102,customer_102,16,MA,2024-05-01
103,customer_103,41,DE,2024-11-24
104,customer_104,76,ES,2024-07-24
105,customer_105,31,ES,2024-01-25
106,customer_106,26,DE,2024-12-01
107,customer_107,25,US,2024-02-02
108,customer_108,76,US,2024-07-25
109,customer_109,71,MA,2024-01-03
110,customer_110,53,MA,2024-07-19
111,customer_111,12,FR,2024-08-18
112,customer_112,70,US,2024-11-04
113,customer_113,67,US,2024-04-02
114,customer_114,84,ES,2024-08-06
115,customer_115,27,ES,2024-08-08
116,customer_116,52,DE,2024-09-14
117,customer_117,55,FR,2024-04-11
118,customer_118,70,ES,2024-06-15
119,customer_119,42,MA,2024-02-11
120,customer_120,36,ES,2024-04-16
121,customer_121,77,MA,2024-02-10
122,customer_122,86,DE,2024-01-07
123,customer_123,80,FR,2024-02-01
124,customer_124,88,FR,2024-11-09
125,customer_125,74,DE,2024-02-22
126,customer_126,27,,2024-12-06
127,customer_127,54,US,2024-07-07
128,customer_128,67,FR,2024-05-14
129,customer_129,,ES,2024-10-09
130,customer_130,17,FR,2024-10-11
131,customer_131,12,DE,2024-07-01
132,customer_132,51,US,2024-04-28
133,customer_133,31,US,2024-05-08
134,customer_134,52,DE,2024-09-14
135,customer_135,26,FR,2024-08-19
136,customer_136,80,MA,2024-07-16
137,customer_137,12,DE,2024-06-25
138,customer_138,38,FR,2024-02-28
139,customer_139,63,ES,2024-01-12
140,customer_140,73,MA,2024-06-28
141,customer_141,52,FR,2024-12-23
142,customer_142,,FR,2024-06-18
143,customer_143,66,DE,2024-04-12
144,customer_144,51,MA,2024-02-07
145,customer_145,,DE,2024-02-16
146,customer_146,86,ES,2024-01-19
147,customer_147,89,ES,2024-03-15
148,customer_148,71,MA,2024-04-11
149,customer_149,46,ES,2024-07-26
150,customer_150,75,DE,2024-11-16
151,customer_151,14,US,2024-07-13
152,customer_152,53,FR,2024-03-28
153,customer_153,86,,2024-10-21
154,customer_154,22,DE,2024-07-22
155,customer_155,28,ES,2024-06-08
156,customer_156,80,MA,2024-09-18
157,customer_157,60,ES,2024-07-07
158,customer_158,50,FR,2024-07-18
159,customer_159,77,ES,2024-05-15
160,customer_160,12,FR,2024-01-01
161,customer_161,20,US,2024-07-05
162,customer_162,35,US,2024-06-18
163,customer_163,51,MA,2024-06-22
164,customer_164,46,FR,2024-11-16
165,customer_165,70,ES,2024-04-19
166,customer_166,84,US,2024-05-02
167,customer_167,78,ES,2024-08-09
168,customer_168,28,,2024-05-23
169,customer_169,14,US,2024-06-27
170,customer_170,53,ES,2024-12-11
171,customer_171,35,FR,2024-08-28
172,customer_172,72,ES,2024-12-24
173,customer_173,89,ES,2024-12-06
174,customer_174,71,DE,2024-03-07
175,customer_175,85,MA,2024-12-11
176,customer_176,63,US,2024-04-22
177,customer_177,79,DE,2024-01-06
178,customer_178,89,US,2024-12-20
179,customer_179,80,,2024-02-15
180,customer_180,,DE,2024-09-28
181,customer_181,77,FR,2024-02-12
182,customer_182,22,US,2024-07-28
183,customer_183,73,DE,2024-08-08
184,customer_184,64,ES,2024-03-24
185,customer_185,32,ES,2024-11-13
186,customer_186,18,US,2024-05-13
187,customer_187,,US,2024-08-18
188,customer_188,60,US,2024-02-14
189,customer_189,47,ES,2024-08-22
190,customer_190,37,DE,2024-11-11
191,customer_191,15,DE,2024-09-21
192,customer_192,55,DE,2024-08-03
193,customer_193,80,ES,2024-12-28
194,customer_194,51,US,2024-12-20
195,customer_195,67,MA,2024-09-18
196,customer_196,56,MA,2024-01-01
197,customer_197,18,DE,2024-04-22
198,customer_198,41,MA,2024-06-26
199,customer_199,43,US,2024-02-16
200,customer_200,45,DE,2024-05-13
201,customer_201,,DE,2024-05-16
202,customer_202,35,ES,2024-08-12
203,customer_203,72,FR,2024-10-15
204,customer_204,71,MA,2024-04-18
205,customer_205,23,DE,2024-05-15
206,customer_206,61,ES,2024-10-06
207,customer_207,31,MA,2024-11-24
208,customer_208,87,DE,2024-08-22
209,customer_209,71,US,2024-04-17
210,customer_210,37,FR,2024-08-12
211,customer_211,41,,2024-07-13
212,customer_212,51,US,2024-12-06
213,customer_213,64,FR,2024-10-15
214,customer_214,84,US,2024-03-03
215,customer_215,37,ES,2024-12-14
216,customer_216,33,US,2024-11-19
217,customer_217,72,DE,2024-03-28
218,customer_218,82,ES,2024-04-07
219,customer_219,51,MA,2024-10-04
220,customer_220,58,ES,2024-09-05
221,customer_221,43,US,2024-04-07
222,customer_222,41,ES,2024-05-03
223,customer_223,51,MA,2024-05-09
224,customer_224,27,MA,2024-01-26
225,customer_225,82,US,2024-09-19
226,customer_226,20,ES,2024-12-23
227,customer_227,69,MA,2024-03-20
228,customer_228,68,US,2024-08-07
229,customer_229,34,US,2024-08-08
230,customer_230,35,DE,2024-03-03
231,customer_231,35,MA,2024-11-23
232,customer_232,82,FR,2024-07-25
233,customer_233,32,FR,2024-11-05
234,customer_234,57,,2024-10-02
235,customer_235,36,DE,2024-01-16
236,customer_236,18,ES,2024-01-16
237,customer_237,26,MA,2024-06-13
238,customer_238,55,FR,2024-11-14
239,customer_239,67,US,2024-07-17
240,customer_240,84,FR,2024-12-18
241,customer_241,43,US,2024-08-10
242,customer_242,40,MA,2024-06-09
243,customer_243,19,MA,2024-09-27
244,customer_244,21,MA,2024-09-03
245,customer_245,61,FR,2024-04-17
246,customer_246,44,MA,2024-04-22
247,customer_247,15,FR,2024-01-23
248,customer_248,16,DE,2024-12-13
249,customer_249,43,DE,2024-08-18
250,customer_250,61,DE,2024-02-22
251,customer_251,23,DE,2024-03-12
252,customer_252,87,DE,2024-12-17
253,customer_253,86,DE,2024-11-23
254,customer_254,25,FR,2024-01-15
255,customer_255,68,US,2024-09-24
256,customer_256,67,FR,2024-11-02
257,customer_257,38,US,2024-07-05
258,customer_258,64,FR,2024-06-20
259,customer_259,22,MA,2024-02-11
260,customer_260,54,MA,2024-03-05
261,customer_261,31,US,2024-12-10
262,customer_262,54,MA,2024-09-19
263,customer_263,81,DE,2024-08-28
264,customer_264,34,ES,2024-01-25
265,customer_265,12,DE,2024-11-07
266,customer_266,47,ES,2024-07-18
267,customer_267,24,DE,2024-12-09
268,customer_268,39,DE,2024-02-28
269,customer_269,19,DE,2024-10-08
270,customer_270,47,US,2024-02-09
271,customer_271,70,US,2024-07-17
272,customer_272,69,DE,2024-12-20
273,customer_273,42,ES,2024-11-23
274,customer_274,53,MA,2024-05-21
275,customer_275,15,FR,2024-09-27
276,customer_276,66,DE,2024-06-15
277,customer_277,62,US,2024-06-25
278,customer_278,77,,2024-07-12
279,customer_279,85,MA,2024-12-01
280,customer_280,79,ES,2024-12-09
281,customer_281,54,,2024-04-28
282,customer_282,40,ES,2024-01-21
283,customer_283,88,ES,2024-06-13
284,customer_284,26,MA,2024-02-02
285,customer_285,15,,2024-10-28
286,customer_286,63,FR,2024-01-17
287,customer_287,78,DE,2024-02-06
288,customer_288,12,MA,2024-01-23
289,customer_289,87,ES,2024-08-20
290,customer_290,49,FR,2024-06-11
291,customer_291,54,FR,2024-01-27
292,customer_292,70,FR,2024-12-01
293,customer_293,25,ES,2024-06-01
294,customer_294,82,FR,2024-06-15
295,customer_295,20,,2024-07-07
296,customer_296,81,MA,2024-09-28
297,customer_297,22,MA,2024-09-25
298,customer_298,40,MA,2024-01-06
299,customer_299,,,2024-01-06
300,customer_300,51,ES,2024-09-05
301,customer_301,26,ES,2024-03-22
302,customer_302,81,MA,2024-04-25
303,customer_303,65,MA,2024-03-13
304,customer_304,29,ES,2024-02-11
305,customer_305,27,MA,2024-01-05
306,customer_306,,FR,2024-04-21
307,customer_307,38,US,2024-11-21
308,customer_308,62,ES,2024-11-18
309,customer_309,49,DE,2024-03-16
310,customer_310,23,MA,2024-08-25
311,customer_311,23,DE,2024-09-23
312,customer_312,51,DE,2024-11-27
313,customer_313,24,US,2024-03-04
314,customer_314,78,DE,2024-10-08
315,customer_315,15,MA,2024-12-13
316,customer_316,72,FR,2024-10-17
317,customer_317,22,FR,2024-03-17
318,customer_318,37,FR,2024-07-10
319,customer_319,37,ES,2024-04-23
320,customer_320,45,,2024-03-05
321,customer_321,26,DE,2024-02-24
322,customer_322,41,FR,2024-12-24
323,customer_323,33,ES,2024-05-27
324,customer_324,36,DE,2024-03-13
325,customer_325,53,DE,2024-12-09
326,customer_326,56,DE,2024-04-27
327,customer_327,18,FR,2024-01-08
328,customer_328,36,FR,2024-02-14
329,customer_329,62,ES,2024-02-05
330,customer_330,75,DE,2024-09-12
331,customer_331,29,ES,2024-09-04
332,customer_332,88,US,2024-10-01
333,customer_333,74,FR,2024-02-02
334,customer_334,78,FR,2024-05-16
335,customer_335,26,DE,2024-02-09
336,customer_336,31,ES,2024-02-01
337,customer_337,24,FR,2024-02-23
338,customer_338,43,MA,2024-02-24
339,customer_339,34,DE,2024-05-20
340,customer_340,20,DE,2024-02-19
341,customer_341,16,US,2024-12-13
342,customer_342,42,DE,2024-08-16
343,customer_343,58,ES,2024-05-10
344,customer_344,58,ES,2024-01-02
345,customer_345,19,DE,2024-07-05
