order_id,customer_id,product,quantity,price,order_date
1,1,product_49,9,47.76,2024-09-02
2,1,product_30,1,6.12,2024-09-08
3,1,product_14,1,456.21,2024-07-16
4,2,product_6,8,124.69,2024-11-20
5,2,product_50,1,98.58,2024-12-19
6,2,product_50,8,59.04,2024-06-10
7,3,product_38,2,248.38,2024-07-01
8,4,product_40,2,7.85,2024-06-17
9,4,product_40,2,184.03,2024-12-08
10,7,product_53,3,63.37,2024-08-25
11,7,product_20,5,326.12,2024-04-21
12,8,product_18,1,142.14,2024-08-03
13,8,product_39,6,440.89,2024-07-22
14,8,product_56,1,377.41,2024-11-13
15,8,product_43,7,138.32,2024-12-01
16,9,product_45,1,469.41,2024-02-23
17,9,product_43,1,438.16,2024-07-14
18,10,product_57,9,26.2,2024-05-11
19,10,product_17,9,86.7,2024-08-05
20,12,product_54,6,275.11,2024-11-02
21,12,product_7,2,194.7,2024-01-10
22,13,product_60,7,377.89,2024-08-22
23,13,product_1,4,193.82,2024-11-03
24,13,product_39,7,298.05,2024-11-08
25,13,product_58,3,124.94,2024-02-13
26,14,product_56,7,36.24,2024-01-26
27,14,product_25,6,434.84,2024-06-08
28,14,product_2,5,329.53,2024-06-28
29,16,product_23,6,355.95,2024-05-26
30,17,product_44,9,229.32,2024-01-01
31,17,product_47,7,260.66,2024-10-21
32,18,product_48,4,403.57,2024-02-28
33,19,product_29,6,11.23,2024-10-01
34,19,product_28,2,410.19,2024-04-23
35,19,product_52,2,193.76,2024-12-15
36,20,product_52,8,61.07,2024-12-23
37,22,product_48,2,471.26,2024-03-07
38,22,product_46,6,183.46,2024-01-16
39,22,product_45,4,429.78,2024-09-02
40,22,product_49,9,190.77,2024-10-26
41,23,product_15,1,232.74,2024-07-11
42,23,product_25,7,374.32,2024-07-21
43,24,product_4,9,109.78,2024-04-03
44,24,product_30,5,44.94,2024-07-14
45,24,product_29,7,381.31,2024-12-28
46,24,product_8,5,319.37,2024-04-03
47,25,product_49,1,25.59,2024-09-04
48,25,product_5,6,391.61,2024-11-23
49,25,product_1,5,462.48,2024-06-23
50,26,product_31,7,365.78,2024-12-22
51,26,product_8,7,224.61,2024-08-23
52,26,product_8,3,218.74,2024-12-23
53,26,product_60,1,263.55,2024-08-23
54,27,product_2,9,243.31,2024-04-14
55,27,product_48,2,387.93,2024-10-24
56,28,product_21,6,404.7,2024-11-12
57,30,product_30,1,234.68,2024-08-02
58,30,product_21,1,224.88,2024-09-20
59,31,product_51,6,341.65,2024-04-23
60,31,product_57,1,147.94,2024-10-20
61,32,product_48,2,217.81,2024-12-28
62,32,product_34,1,234.64,2024-08-20
63,32,product_58,1,470.58,2024-02-07
64,32,product_26,1,425.97,2024-11-06
65,34,product_59,9,445.82,2024-12-11
66,34,product_39,8,392.81,2024-01-10
67,35,product_53,2,22.96,2024-12-20
68,35,product_44,5,48.79,2024-04-17
69,36,product_37,7,395.84,2024-03-13
70,36,product_42,5,150.64,2024-10-28
71,36,product_29,7,289.25,2024-05-25
72,36,product_33,4,142.86,2024-07-25
73,39,product_46,5,59.15,2024-08-26
74,39,product_41,3,496.86,2024-12-19
75,40,product_34,3,436.08,2024-07-25
76,40,product_1,6,285.16,2024-01-07
77,41,product_25,1,39.98,2024-10-10
78,41,product_11,1,293.86,2024-04-25
79,41,product_39,5,487.27,2024-01-22
80,41,product_24,7,65.7,2024-05-12
81,43,product_3,8,27.67,2024-01-18
82,43,product_21,5,457.54,2024-05-21
83,43,product_55,1,27.25,2024-08-21
84,43,product_60,3,198.98,2024-11-01
85,44,product_4,8,7.7,2024-05-27
86,44,product_37,8,12.64,2024-03-21
87,45,product_57,1,26.51,2024-09-22
88,46,product_27,5,446.29,2024-12-11
89,46,product_50,2,355.66,2024-05-15
90,47,product_12,1,462.85,2024-08-13
91,47,product_46,2,304.45,2024-05-23
92,47,product_14,8,110.91,2024-08-15
93,48,product_53,9,307.96,2024-08-19
94,48,product_28,5,198.25,2024-04-07
95,48,product_51,6,191.21,2024-10-02
96,49,product_18,7,446.79,2024-01-10
97,49,product_36,1,138.02,2024-05-24
98,49,product_27,1,290.22,2024-04-05
99,50,product_34,8,131.0,2024-08-21
100,51,product_52,5,73.75,2024-04-12
101,52,product_5,6,398.36,2024-12-15
102,52,product_52,3,469.25,2024-02-14
103,52,product_54,4,448.76,2024-03-16
104,52,product_59,1,415.4,2024-07-12
105,53,product_17,6,107.5,2024-07-21
106,54,product_20,4,26.5,2024-01-07
107,54,product_28,4,351.41,2024-06-10
108,55,product_12,5,87.66,2024-12-09
109,56,product_46,3,419.4,2024-03-28
110,56,product_9,6,357.4,2024-11-19
111,56,product_27,5,107.27,2024-01-08
112,56,product_9,6,182.65,2024-11-17
113,57,product_7,6,498.95,2024-10-20
114,57,product_35,2,170.55,2024-12-09
115,59,product_36,6,112.74,2024-05-07
116,59,product_22,6,27.11,2024-07-01
117,59,product_21,3,383.51,2024-03-10
118,59,product_17,6,174.64,2024-09-04
119,60,product_28,8,445.4,2024-03-21
120,60,product_34,6,275.74,2024-08-18
121,60,product_40,8,437.83,2024-04-02
122,61,product_50,9,248.6,2024-04-19
123,61,product_56,6,420.99,2024-10-12
124,61,product_9,8,436.91,2024-02-09
125,61,product_28,5,98.76,2024-12-16
126,62,product_49,6,347.96,2024-06-02
127,63,product_43,2,14.83,2024-11-17
128,63,product_3,4,358.38,2024-07-22
129,63,product_29,7,180.13,2024-05-01
130,63,product_18,6,295.75,2024-05-12
131,64,product_22,3,401.44,2024-12-24
132,64,product_25,9,478.29,2024-10-21
133,64,product_42,2,448.52,2024-01-02
134,65,product_48,9,23.98,2024-10-20
